ms,mV
9.8,-69.2
9.8,13.5
1.9,-69.2
1.9,13.5
3.3,-69.2
3.3,13.5
0.5,-69.2
0.5,13.5
3.3,-69.2
3.3,13.5
40.0,-68.0
40.0,-75.0
40.0,-80.0
0.19,6.2
0.19,10.7
0.19,6.2
0.19,10.7
0.19,30.0
0.37,6.2
0.37,10.7
0.37,6.2
0.37,10.7
0.37,30.0
0.19,6.2
0.19,10.7
0.19,6.2
0.19,10.7
0.19,30.0
0.37,6.2
0.37,10.7
0.37,6.2
0.37,10.7
0.37,30.0
61.2,1.0
61.2,1.0
61.2,1.0
61.2,1.0
41.0,1.0
41.0,1.0
121.0,1.0
121.0,1.0
41.0,1.0
41.0,1.0
121.0,1.0
121.0,1.0
50.0,1.0
50.0,1.0
10.92,0.19
10.92,0.14
10.92,0.19
10.92,0.14
14.03,0.19
14.03,0.14
14.03,0.19
14.03,0.14
10.92,0.19
10.92,0.14
10.92,0.19
10.92,0.14
14.03,0.19
14.03,0.14
14.03,0.19
14.03,0.14
13.16,-58.7
65.0,1.37
65.0,1.0
65.0,0.25
65.0,1.0
65.0,0.25
2.48,1.37
2.48,1.0
2.48,0.25
2.48,1.0
2.48,0.25
2.48,1.37
2.48,1.0
2.48,0.25
2.48,1.0
2.48,0.25
2.48,1.37
2.48,1.0
2.48,0.25
2.48,1.0
2.48,0.25
2.48,1.37
2.48,1.0
2.48,0.25
2.48,1.0
2.48,0.25
1.0,1.37
1.0,1.0
1.0,0.25
1.0,1.0
1.0,0.25
18.8,-70.0
18.8,-50.0
18.8,-80.0
18.8,-50.0
18.8,-80.0
18.8,-80.0
6.0,-70.0
6.0,-50.0
6.0,-80.0
6.0,-50.0
6.0,-80.0
6.0,-80.0
18.8,-70.0
18.8,-50.0
18.8,-80.0
18.8,-50.0
18.8,-80.0
18.8,-80.0
6.0,-70.0
6.0,-50.0
6.0,-80.0
6.0,-50.0
6.0,-80.0
6.0,-80.0
1.0,-70.0
1.0,-50.0
1.0,-80.0
1.0,-50.0
1.0,-80.0
1.0,-80.0
90.0,-70.0
90.0,-50.0
90.0,-80.0
90.0,-50.0
90.0,-80.0
90.0,-80.0
10.0,21.6
10.0,68.4
2.23,21.6
2.23,68.4
193.0,21.6
193.0,68.4
159.0,21.6
159.0,68.4
193.0,21.6
193.0,68.4
159.0,21.6
159.0,68.4
100.0,-60.0
100.0,70.0
100.0,-60.0
100.0,70.0
10.5,-72.0
10.5,2.1
0.29,-72.0
0.29,2.1
2.0,-72.0
2.0,2.1
0.29,-72.0
0.29,2.1
2.0,-72.0
2.0,2.1
0.92,7.4
0.92,7.3
0.92,4.5
0.92,7.8
0.92,5.3
0.85,7.4
0.85,7.3
0.85,4.5
0.85,7.8
0.85,5.3
8.1,7.4
8.1,7.3
8.1,4.5
8.1,7.8
8.1,5.3
0.85,7.4
0.85,7.3
0.85,4.5
0.85,7.8
0.85,5.3
114.0,-6.3
114.0,-80.0
114.0,2.2
114.0,-80.0
146.0,-6.3
146.0,-80.0
146.0,2.2
146.0,-80.0
114.0,-6.3
114.0,-80.0
114.0,2.2
114.0,-80.0
146.0,-6.3
146.0,-80.0
146.0,2.2
146.0,-80.0
625.0,-6.3
625.0,-80.0
625.0,2.2
625.0,-80.0
263.0,-6.3
263.0,-80.0
263.0,2.2
263.0,-80.0
70.0,1.0
20.0,1.0
70.0,1.0
20.0,1.0
300.0,1.0
100.0,40.0
100.0,50.0
100.0,40.0
100.0,50.0
100.0,40.0
100.0,10.0
100.0,57.0
100.0,10.0
100.0,57.0
100.0,10.0
10.0,40.0
10.0,50.0
10.0,40.0
10.0,50.0
10.0,40.0
10.0,10.0
10.0,57.0
10.0,10.0
10.0,57.0
10.0,10.0
500.0,40.0
500.0,50.0
500.0,40.0
500.0,50.0
500.0,40.0
500.0,10.0
500.0,57.0
500.0,10.0
500.0,57.0
500.0,10.0
10.0,40.0
10.0,50.0
10.0,40.0
10.0,50.0
10.0,40.0
10.0,10.0
10.0,57.0
10.0,10.0
10.0,57.0
10.0,10.0
500.0,40.0
500.0,50.0
500.0,40.0
500.0,50.0
500.0,40.0
500.0,10.0
500.0,57.0
500.0,10.0
500.0,57.0
500.0,10.0
17.0,40.0
17.0,50.0
17.0,40.0
17.0,50.0
17.0,40.0
17.0,10.0
17.0,57.0
17.0,10.0
17.0,57.0
17.0,10.0
150.0,40.0
150.0,50.0
150.0,40.0
150.0,50.0
150.0,40.0
150.0,10.0
150.0,57.0
150.0,10.0
150.0,57.0
150.0,10.0
17.0,40.0
17.0,50.0
17.0,40.0
17.0,50.0
17.0,40.0
17.0,10.0
17.0,57.0
17.0,10.0
17.0,57.0
17.0,10.0
150.0,40.0
150.0,50.0
150.0,40.0
150.0,50.0
150.0,40.0
150.0,10.0
150.0,57.0
150.0,10.0
150.0,57.0
150.0,10.0
24.0,40.0
24.0,50.0
24.0,40.0
24.0,50.0
24.0,40.0
24.0,10.0
24.0,57.0
24.0,10.0
24.0,57.0
24.0,10.0
4.5,-55.0
88.0,-55.0
4.5,-55.0
88.0,-55.0
13.0,-120.0
40.0,-120.0
800.0,-120.0
45.0,-59.8
45.0,-61.5
45.0,-41.0
45.0,-41.0
45.0,-50.0
5.0,-59.8
5.0,-61.5
5.0,-41.0
5.0,-41.0
5.0,-50.0
45.0,-59.8
45.0,-61.5
45.0,-41.0
45.0,-41.0
45.0,-50.0
5.0,-59.8
5.0,-61.5
5.0,-41.0
5.0,-41.0
5.0,-50.0
41.0,-59.8
41.0,-61.5
41.0,-41.0
41.0,-41.0
41.0,-50.0
3.3,-59.8
3.3,-61.5
3.3,-41.0
3.3,-41.0
3.3,-50.0
41.0,-59.8
41.0,-61.5
41.0,-41.0
41.0,-41.0
41.0,-50.0
3.0,-59.8
3.0,-61.5
3.0,-41.0
3.0,-41.0
3.0,-50.0
41.0,-59.8
41.0,-61.5
41.0,-41.0
41.0,-41.0
41.0,-50.0
3.0,-59.8
3.0,-61.5
3.0,-41.0
3.0,-41.0
3.0,-50.0
2.5,-59.8
2.5,-61.5
2.5,-41.0
2.5,-41.0
2.5,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
5.4,-59.8
5.4,-61.5
5.4,-41.0
5.4,-41.0
5.4,-50.0
1.8,-59.8
1.8,-61.5
1.8,-41.0
1.8,-41.0
1.8,-50.0
5.4,-59.8
5.4,-61.5
5.4,-41.0
5.4,-41.0
5.4,-50.0
1.8,-59.8
1.8,-61.5
1.8,-41.0
1.8,-41.0
1.8,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
0.2,-59.8
0.2,-61.5
0.2,-41.0
0.2,-41.0
0.2,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
2.8,-59.8
2.8,-61.5
2.8,-41.0
2.8,-41.0
2.8,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
2.8,-59.8
2.8,-61.5
2.8,-41.0
2.8,-41.0
2.8,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
1.5,-30.0
1.5,-40.0
1.5,-30.0
1.5,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
1.5,-30.0
1.5,-40.0
1.5,-30.0
1.5,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
2.0,-55.0
20.0,-55.0
2.0,-55.0
20.0,-55.0
1.5,-55.0
2.8,20.0
2.8,17.0
2.8,20.0
19.2,20.0
19.2,17.0
19.2,20.0
2.8,20.0
2.8,17.0
2.8,20.0
19.2,20.0
19.2,17.0
19.2,20.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,-40.0
500.0,-43.0
500.0,-40.0
500.0,-43.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-40.0
1.0,-43.0
1.0,-40.0
1.0,-43.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-40.0
1.2,-43.0
1.2,-40.0
1.2,-43.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-40.0
1.0,-43.0
1.0,-40.0
1.0,-43.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-40.0
1.2,-43.0
1.2,-40.0
1.2,-43.0
10.0,-70.0
10.0,-21.5
10.0,-90.0
10.0,-57.5
10.0,-90.0
10.0,-57.5
10.0,-60.0
10.0,-100.0
10.0,-60.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,-21.2
10.0,-76.5
20.0,-70.0
20.0,-21.5
20.0,-90.0
20.0,-57.5
20.0,-90.0
20.0,-57.5
20.0,-60.0
20.0,-100.0
20.0,-60.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,-21.2
20.0,-76.5
10.0,-70.0
10.0,-21.5
10.0,-90.0
10.0,-57.5
10.0,-90.0
10.0,-57.5
10.0,-60.0
10.0,-100.0
10.0,-60.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,-21.2
10.0,-76.5
20.0,-70.0
20.0,-21.5
20.0,-90.0
20.0,-57.5
20.0,-90.0
20.0,-57.5
20.0,-60.0
20.0,-100.0
20.0,-60.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,-21.2
20.0,-76.5
2.3,1.0
20.6,1.0
2.3,1.0
20.6,1.0
75.0,1.0
3.0,18.0
108.0,18.0
0.1,18.0
108.0,18.0
250.0,-50.0
500.0,-60.0
542.0,-60.0
20.0,-60.0
200.0,-60.0
20.0,-60.0
200.0,-60.0
200.0,-60.0
200.0,-60.0
200.0,-60.0
7.1,-66.0
7.1,85.8
2.9,-66.0
2.9,85.8
200.0,-65.0
1.1,-61.0
1.1,75.0
1.1,4.0
1.1,4.0
9.6,-58.9
9.6,73.4
9.6,7.9
1.9,-58.9
1.9,73.4
1.9,7.9
61.7,-58.9
61.7,73.4
61.7,7.9
5.0,30.0
5.0,-30.0
5.0,30.0
5.0,-30.0
5.0,-40.0
5.0,-30.0
5.0,-40.0
100.0,30.0
100.0,-30.0
100.0,30.0
100.0,-30.0
100.0,-40.0
100.0,-30.0
100.0,-40.0
5.0,30.0
5.0,-30.0
5.0,30.0
5.0,-30.0
5.0,-40.0
5.0,-30.0
5.0,-40.0
100.0,30.0
100.0,-30.0
100.0,30.0
100.0,-30.0
100.0,-40.0
100.0,-30.0
100.0,-40.0
7.7,10.5
7.7,2.0
1.2,10.5
1.2,2.0
30.0,10.5
30.0,2.0
6.7,6.0
6.7,-65.0
6.7,-90.0
6.7,-70.0
6.7,3.0
6.7,-70.0
6.7,3.0
6.7,-90.0
6.7,3.0
6.7,-90.0
6.7,-70.0
6.7,-90.0
6.7,-70.0
6.7,-40.0
10.0,-62.2
10.0,5.1
10.0,4.6
117.0,-62.2
117.0,5.1
117.0,4.6
731.0,-62.2
731.0,5.1
731.0,4.6
160.0,-62.2
160.0,5.1
160.0,4.6
731.0,-62.2
731.0,5.1
731.0,4.6
160.0,-62.2
160.0,5.1
160.0,4.6
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
5.0,-93.0
5.0,-40.0
50.0,-93.0
50.0,-40.0
5.0,-93.0
5.0,-40.0
50.0,-93.0
50.0,-40.0
200.0,-52.0
200.0,85.0
200.0,2.6
200.0,-22.0
4.7,-52.0
4.7,85.0
4.7,2.6
4.7,-22.0
3.2,-52.0
3.2,85.0
3.2,2.6
3.2,-22.0
4.7,-52.0
4.7,85.0
4.7,2.6
4.7,-22.0
3.2,-52.0
3.2,85.0
3.2,2.6
3.2,-22.0
250.0,-80.0
250.0,-60.0
250.0,-80.0
250.0,-60.0
250.0,4.0
250.0,-60.0
1.0,-91.7
1.0,-86.8
1.0,-91.7
1.0,-86.8
1.0,-34.5
1.0,-51.3
1.0,-34.5
1.0,-51.3
260.0,-91.7
260.0,-86.8
260.0,-91.7
260.0,-86.8
260.0,-34.5
260.0,-51.3
260.0,-34.5
260.0,-51.3
92.0,-40.0
92.0,10.0
92.0,-90.0
92.0,6.9
3.35,-29.33
3.35,46.79
3.35,4.15
3.35,46.79
5.0,-55.0
5.0,-72.0
6.0,-55.0
6.0,-72.0
5.0,-55.0
5.0,-72.0
6.0,-55.0
6.0,-72.0
2.8,72.3
2.8,-60.0
2.8,-90.0
2.8,-60.0
2.8,-90.0
2.8,-50.0
